adm1_code,state,st,disease,cases1993,cases1994,cases1995,cases1996,cases1997,cases1998,cases1999,cases2000,cases2001,cases2002,cases2003,cases2004,cases2005,cases2006,cases2007,cases2008,cases2009,cases2010,cases2011,cases2012,cases2013
,Wyoming,WY,Mumps,5,3,0,1,1,1,0,1,2,0,1,1,2,9,1,0,0,1,1,1,0
USA-3563,Alaska,AK,Mumps,11,4,12,3,8,3,3,8,1,0,1,2,1,3,2,5,6,1,1,0,0
USA-3521,California,CA,Mumps,285,258,211,185,151,110,95,89,48,70,58,55,47,31,42,31,16,29,43,34,30
USA-3517,Hawaii,HI,Mumps,30,19,14,31,27,26,16,23,42,22,13,9,18,6,2,4,5,5,3,1,0
,Oregon,OR,Mumps,NN,NN,NN,NN,NN,NN,NN,NN,NN,0,NN,0,NN,19,1,1,2,3,4,6,3
,Washington,WA,Mumps,14,23,16,26,21,11,2,10,2,0,11,2,3,42,53,14,6,7,2,2,2
,USA,USA,Pertussis,6586,4617,5137,7796,6564,7405,7288,7867,7580,9771,11647,25827,25616,15632,10454,13278,16858,27550,18719,48277,28639
USA-3537,Connecticut,CT,Pertussis,102,44,34,49,36,54,35,54,24,30,77,67,85,126,89,55,56,107,68,182,61
,Maine,ME,Pertussis,20,21,47,55,26,5,33,46,22,21,91,196,55,174,83,49,80,53,205,737,332
,Massachusetts,MA,Pertussis,408,534,492,1245,582,805,649,1411,537,602,1670,1698,1167,1238,1178,800,358,284,271,648,349
,New Hampshire,NH,Pertussis,168,107,70,197,150,149,116,159,31,78,119,134,186,226,80,49,76,23,170,269,131
,Rhode Island,RI,Pertussis,14,8,7,40,19,21,49,28,9,22,55,53,53,101,59,87,45,44,62,113,160
,Vermont,VT,Pertussis,122,46,81,280,283,80,96,254,113,172,71,180,90,110,63,12,11,18,94,645,114
,New Jersey,NJ,Pertussis,85,15,20,31,14,29,19,56,23,34,188,223,192,301,229,246,244,169,312,1395,406
,New York,NY,Pertussis,489,257,320,594,292,406,1081,475,234,466,1217,2165,767,1195,699,570,363,832,1251,3171,864
,Pennsylvania,PA,Pertussis,417,202,129,327,197,260,219,288,198,194,352,560,514,587,386,495,615,979,742,1945,633
USA-3546,Illinois,IL,Pertussis,434,111,155,192,155,173,140,133,194,231,321,1554,922,588,199,628,648,1057,1509,2026,785
USA-3547,Indiana,IN,Pertussis,178,97,76,128,104,185,90,153,116,183,104,364,396,280,68,270,392,747,367,441,616
,Michigan,MI,Pertussis,116,96,103,59,71,71,74,127,149,62,140,303,321,632,292,317,900,1564,691,845,988
,Ohio,OH,Pertussis,523,162,175,289,165,299,322,389,327,441,328,766,1185,644,609,845,1096,1807,767,893,1464
,Wisconsin,WI,Pertussis,376,149,158,169,219,191,117,140,199,180,697,5641,1089,221,327,192,170,583,1192,6880,1258
USA-3529,Iowa,IA,Pertussis,38,23,11,32,207,78,111,67,139,157,166,1066,1106,345,150,257,235,697,232,1736,308
USA-3530,Kansas,KS,Pertussis,24,18,23,14,33,105,56,42,31,63,46,250,542,310,104,106,240,182,145,887,405
,Minnesota,MN,Pertussis,393,142,238,433,547,439,281,575,308,429,207,1368,1571,320,393,1034,1121,1140,658,4142,865
,Missouri,MO,Pertussis,144,45,63,74,80,59,75,97,107,147,208,595,656,308,118,561,1015,604,438,815,559
,Nebraska,NE,Pertussis,14,14,14,15,16,21,9,28,8,9,16,97,295,101,70,277,141,214,56,240,232
,North Dakota,ND,Pertussis,5,5,8,1,2,46,31,9,11,9,7,757,168,43,14,25,30,58,70,214,87
,South Dakota,SD,Pertussis,8,26,12,4,5,8,8,11,5,8,7,169,183,26,60,67,58,29,37,70,67
USA-3555,Delaware,DE,Pertussis,11,3,10,26,1,5,8,9,0,4,9,16,16,3,11,18,13,15,29,57,57
,District of Columbia,DC,Pertussis,14,11,8,4,3,1,1,3,1,2,4,13,11,6,9,7,7,16,9,26,42
